Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),fraction unbound in plasma (fu),MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,moka_ionState7.4,moka_ionState7.4_anionic,moka_ionState7.4_cationic,moka_ionState7.4_neutral,moka_ionState7.4_zwitterionic,human VDss (L/kg) / fraction unbound in plasma (fu),human CL (mL/min/kg) / fraction unbound in plasma (fu)
Eptifibatide,188627-80-7,0.17,1.2,0.75,2.4,4.2,831.96,20,11,323.9,11,-3.2,-5.5,zwitterionic,0.0,0.0,0.0,1.0,0.22666666666666668,1.5999999999999999
Ergotamine,113-15-5,3.6,15.0,0.02,4.0,2.1,581.66,10,3,118.2,4,3.6,3.5,neutral,0.0,0.0,1.0,0.0,180.0,750.0
Eribulin,253128-41-5,1.46,0.75,0.43,32.5,37.8,731.87,13,2,155.6,4,2.1,0.36,cationic,0.0,1.0,0.0,0.0,3.395348837209302,1.744186046511628
Erlotinib,183321-74-6,0.77,1.69,0.07,7.55,6.5,393.44,7,1,74.7,11,3.8,3.8,neutral,0.0,0.0,1.0,0.0,11.0,24.14285714285714
Ertapenem,153832-46-3,0.12,0.45,0.1,4.4,3.8,475.51,10,5,156.3,7,0.43,-4.8,anionic,1.0,0.0,0.0,0.0,1.2,4.5
Erythromycin,114-07-8,0.95,5.6,0.1,2.8,2.0,733.93,14,5,193.9,7,1.8,0.47,cationic,0.0,1.0,0.0,0.0,9.499999999999998,55.99999999999999
Esmolol,81147-92-4,1.2,290.0,0.59,0.07,0.15,295.37,5,2,67.8,10,2.0,0.18,cationic,0.0,1.0,0.0,0.0,2.0338983050847457,491.52542372881356
Esomeprazole,119141-88-7,0.2,3.85,0.03,0.9,0.83,345.42,6,1,77.1,5,2.2,2.2,neutral,0.0,0.0,1.0,0.0,6.666666666666667,128.33333333333334
Estradiol,50-28-2,1.2,30.0,0.016,0.7,1.7,272.38,2,2,40.5,0,3.7,3.7,neutral,0.0,0.0,1.0,0.0,75.0,1875.0
Estramustine phosphate,4891-15-0,0.12,0.94,0.5,2.1,2.4,520.38,7,2,96.3,8,5.0,1.0,anionic,1.0,0.0,0.0,0.0,0.24,1.88
Ethambutol,74-55-5,1.7,10.0,0.18,2.7,3.1,204.31,4,4,64.5,9,-0.38,-2.5,cationic,0.0,1.0,0.0,0.0,9.444444444444445,55.55555555555556
Ethimizol,64-99-3,0.73,12.1,0.92,1.0,0.83,210.23,6,2,76.0,3,-0.55,-0.55,neutral,0.0,0.0,1.0,0.0,0.7934782608695652,13.152173913043477
Ethinylestradiol,57-63-6,4.3,7.0,0.014,11.0,9.7,296.4,2,2,40.5,1,3.5,3.5,neutral,0.0,0.0,1.0,0.0,307.1428571428571,500.0
Ethinylestradiol-3-Sulfate,24560-70-1,2.3,4.7,0.011,8.2,8.4,376.47,5,2,83.8,3,1.6,-1.9,neutral,0.0,0.0,1.0,0.0,209.0909090909091,427.2727272727273
Etilefrine,709-55-7,2.1,14.0,0.77,2.5,2.2,181.23,3,3,52.5,4,0.57,-0.9,cationic,0.0,1.0,0.0,0.0,2.7272727272727275,18.18181818181818
Etomidate,33125-97-2,2.7,13.0,0.23,2.9,3.5,244.29,4,0,44.1,5,2.8,2.8,neutral,0.0,0.0,1.0,0.0,11.73913043478261,56.52173913043478
Etonogestrel,54048-10-1,2.87,2.0,0.02,23.6,25.0,324.46,2,1,37.3,2,4.0,4.0,neutral,0.0,0.0,1.0,0.0,143.5,100.0
Etoposide,33419-42-0,0.18,0.5,0.12,6.0,5.7,588.56,13,3,160.8,5,-0.43,-0.43,neutral,0.0,0.0,1.0,0.0,1.5,4.166666666666667
Etoricoxib,202409-33-4,1.5,0.79,0.081,32.0,26.0,358.84,4,0,59.9,3,3.5,3.5,neutral,0.0,0.0,1.0,0.0,18.51851851851852,9.753086419753087
Evacetrapib,1186486-62-3,1.82,0.84,0.001,36.15,51.94,638.65,8,1,87.4,7,7.5,5.2,zwitterionic,0.0,0.0,0.0,1.0,1820.0,840.0
Ezogabine,150812-12-7,2.5,8.3,0.2,5.0,9.0,303.33,5,3,76.4,6,3.1,3.1,neutral,0.0,0.0,1.0,0.0,12.5,41.5
Falipamil,77862-92-1,2.4,15.71,0.12,2.62,2.04,428.52,7,0,60.5,11,3.0,2.3,cationic,0.0,1.0,0.0,0.0,20.0,130.91666666666669
Famotidine,76824-35-6,1.2,6.6,0.84,3.0,2.8,337.45,9,6,170.8,9,-1.3,-1.4,neutral,0.0,0.0,1.0,0.0,1.4285714285714286,7.857142857142857
Felodipine,72509-76-3,4.4,11.0,0.0036,6.7,10.0,384.25,5,1,64.6,6,4.2,4.2,neutral,0.0,0.0,1.0,0.0,1222.2222222222224,3055.5555555555557
Fenoldopam,67227-56-9,0.5,41.5,0.12,0.2,1.0,305.76,4,4,72.7,1,2.7,1.9,cationic,0.0,1.0,0.0,0.0,4.166666666666667,345.83333333333337
Fenoprofen,29679-58-1,0.1,0.6,0.02,2.8,2.24,242.27,3,1,46.5,4,3.2,0.48,anionic,1.0,0.0,0.0,0.0,5.0,30.0
Fenoterol,13392-18-2,1.2,29.0,0.53,0.69,0.87,303.35,5,5,92.9,6,1.5,0.7,cationic,0.0,1.0,0.0,0.0,2.2641509433962264,54.71698113207547
Fentanyl,437-38-7,0.89,4.7,0.16,3.2,3.0,336.47,3,0,23.5,6,4.1,2.8,cationic,0.0,1.0,0.0,0.0,5.5625,29.375
Finafloxacin,209342-40-5,1.42,5.75,0.75,4.11,13.42,398.39,8,2,107.6,4,1.1,-1.9,anionic,1.0,0.0,0.0,0.0,1.8933333333333333,7.666666666666667
Finasteride,98319-26-7,1.1,2.4,0.095,7.6,6.0,372.54,4,2,58.2,1,3.2,3.2,neutral,0.0,0.0,1.0,0.0,11.578947368421053,25.263157894736842
Fingolimod,162359-55-9,17.3,1.53,0.002,189.0,144.0,307.47,3,3,66.5,12,3.7,2.6,cationic,0.0,1.0,0.0,0.0,8650.0,765.0
Flavopiridol,146426-40-6,1.5,6.1,0.06,4.0,5.2,401.84,6,3,90.2,2,3.6,2.4,zwitterionic,0.0,0.0,0.0,1.0,25.0,101.66666666666667
Flecainide,54143-55-4,6.1,4.9,0.52,21.0,12.0,414.34,5,2,59.6,7,3.1,1.6,cationic,0.0,1.0,0.0,0.0,11.73076923076923,9.423076923076923
Fleroxacin,79660-72-3,1.6,2.4,0.73,11.0,8.6,369.34,6,1,64.1,4,2.0,-0.27,zwitterionic,0.0,0.0,0.0,1.0,2.1917808219178085,3.287671232876712
Flomoxef,99665-00-6,0.19,4.1,0.64,0.77,0.6,496.47,13,3,169.0,11,-0.98,-4.0,anionic,1.0,0.0,0.0,0.0,0.296875,6.406249999999999
Flucloxacillin,5250-39-5,0.19,2.4,0.043,1.3,1.4,453.87,8,2,113.0,4,2.8,-0.5,anionic,1.0,0.0,0.0,0.0,4.418604651162791,55.81395348837209
Fluconazole,86386-73-4,0.75,0.31,0.89,40.0,30.0,306.27,7,1,81.7,5,0.19,0.19,neutral,0.0,0.0,1.0,0.0,0.8426966292134831,0.34831460674157305
Flucytosine,2022-85-7,0.68,2.0,1.0,5.7,4.2,129.09,4,2,67.5,0,-2.3,-2.3,neutral,0.0,0.0,1.0,0.0,0.68,2.0
Fludarabine,21679-14-1,2.2,3.2,0.76,12.0,11.0,285.23,9,4,139.5,2,-1.8,-1.8,neutral,0.0,0.0,1.0,0.0,2.8947368421052633,4.2105263157894735
Flumazenil,78755-81-4,0.8,16.0,0.58,1.0,0.78,303.29,6,0,64.4,3,1.0,1.0,neutral,0.0,0.0,1.0,0.0,1.3793103448275863,27.586206896551726
Flunisolide,3385-03-3,1.08,9.5,0.24,1.89,1.68,434.5,6,2,93.1,2,2.5,2.5,neutral,0.0,0.0,1.0,0.0,4.500000000000001,39.583333333333336
Flunitrazepam,1622-62-4,1.9,1.4,0.17,23.0,25.0,313.28,6,0,78.5,2,2.1,2.1,neutral,0.0,0.0,1.0,0.0,11.176470588235293,8.235294117647058
Fluocortolone,152-97-6,0.68,7.0,0.04,1.6,1.3,376.46,4,2,74.6,2,2.3,2.3,neutral,0.0,0.0,1.0,0.0,17.0,175.0
Fluorescein,2321-07-5,0.14,1.3,0.11,1.8,1.6,332.31,5,2,76.0,0,3.9,3.9,neutral,0.0,0.0,1.0,0.0,1.272727272727273,11.818181818181818
"fluorodideoxycytidine, 2- (2FddC)",119555-47-4,0.7,6.1,1.0,1.9,1.8,229.21,6,2,90.4,2,-1.2,-1.2,neutral,0.0,0.0,1.0,0.0,0.7,6.1
"Fluorouracil, 5-",51-21-8,0.23,26.0,0.64,0.15,0.12,130.08,4,2,58.2,0,-0.93,-1.1,neutral,0.0,0.0,1.0,0.0,0.359375,40.625
Fluphenazine,69-23-8,2.9,9.7,0.04,5.0,12.3,437.52,4,1,29.9,7,4.5,3.7,cationic,0.0,1.0,0.0,0.0,72.5,242.49999999999997
Flupirtine,56995-20-1,1.1,1.6,0.15,11.0,8.5,304.32,6,3,89.3,6,3.1,2.7,cationic,0.0,1.0,0.0,0.0,7.333333333333334,10.666666666666668
Fluticasone propionate,80474-14-2,3.6,17.0,0.1,3.9,6.0,500.57,5,1,80.7,6,3.3,3.3,neutral,0.0,0.0,1.0,0.0,36.0,170.0
Fluvastatin,93957-54-1,0.42,16.0,0.0079,0.44,0.7,411.47,5,3,82.7,8,2.9,-0.11,anionic,1.0,0.0,0.0,0.0,53.16455696202531,2025.3164556962024
Fluvoxamine,54739-18-3,23.5,31.95,0.2,12.26,12.5,318.33,4,1,56.8,9,3.1,1.2,cationic,0.0,1.0,0.0,0.0,117.5,159.75
Folic acid,59-30-3,9.7,52.0,0.5,3.1,2.6,441.4,13,6,213.3,9,-1.3,-8.6,anionic,1.0,0.0,0.0,0.0,19.4,104.0
Folinic acid,58-05-9,0.25,5.8,0.087,0.8,1.3,473.44,14,7,215.6,9,-2.1,-7.6,anionic,1.0,0.0,0.0,0.0,2.873563218390805,66.66666666666667
Fosaprepitant,172673-20-0,0.07,18.6,0.02,0.06,2.2,614.41,10,3,129.9,7,2.4,-3.5,anionic,1.0,0.0,0.0,0.0,3.5000000000000004,930.0
Foscarnet,4428-95-9,0.5,2.1,0.85,4.0,4.7,126.01,5,3,94.8,1,-1.2,-7.6,anionic,1.0,0.0,0.0,0.0,0.5882352941176471,2.4705882352941178
Fosfluconazole,194798-83-9,0.15,1.3,0.042,2.0,2.1,386.25,10,2,128.2,7,-0.79,-5.1,anionic,1.0,0.0,0.0,0.0,3.571428571428571,30.952380952380953
Fosfomycin,23155-02-4,0.32,2.0,1.0,2.7,1.9,138.06,4,2,70.1,1,-0.62,-5.7,anionic,1.0,0.0,0.0,0.0,0.32,2.0
Fosinoprilat,95399-71-6,0.13,0.32,0.006,6.8,9.4,435.49,6,2,94.9,9,4.2,-1.0,anionic,1.0,0.0,0.0,0.0,21.666666666666668,53.333333333333336
Fosphenytoin,93390-81-9,0.06,3.5,0.05,0.17,0.16,362.27,8,3,116.2,5,1.7,-3.3,anionic,1.0,0.0,0.0,0.0,1.2,70.0
Frovatriptan,158747-02-5,3.6,2.5,0.85,22.0,24.0,243.3,4,3,70.9,2,1.3,-0.86,cationic,0.0,1.0,0.0,0.0,4.235294117647059,2.9411764705882355
Fulvestrant,129453-61-8,4.15,11.8,0.01,5.86,16.0,606.77,3,2,57.5,16,9.0,9.0,neutral,0.0,0.0,1.0,0.0,415.0,1180.0
Furosemide,54-31-9,0.12,1.6,0.012,1.3,2.5,330.74,7,3,122.9,5,1.8,-1.4,anionic,1.0,0.0,0.0,0.0,10.0,133.33333333333334
Fusidate sodium,751-94-0,0.23,0.35,0.02,10.6,9.8,515.7,6,2,106.9,6,5.7,3.3,anionic,1.0,0.0,0.0,0.0,11.5,17.5
Gabapentin,60142-96-3,0.71,1.7,0.97,7.0,5.3,171.24,3,2,63.3,3,0.55,-1.7,zwitterionic,0.0,0.0,0.0,1.0,0.7319587628865979,1.7525773195876289
Galanthamine,357-70-0,2.3,5.6,0.83,6.8,5.3,287.35,4,1,41.9,1,1.8,1.1,cationic,0.0,1.0,0.0,0.0,2.7710843373493974,6.746987951807228
Gallopamil,16662-47-8,1.75,14.3,0.07,2.04,1.8,484.63,7,0,73.2,15,4.3,2.8,cationic,0.0,1.0,0.0,0.0,24.999999999999996,204.28571428571428
Ganciclovir,82410-32-0,1.0,4.6,0.99,3.7,3.7,255.23,9,4,135.0,5,-2.6,-2.6,neutral,0.0,0.0,1.0,0.0,1.0101010101010102,4.646464646464646
Ganirelix,124904-93-4,0.21,0.63,0.18,5.61,9.09,1570.32,31,16,451.5,48,5.7,3.4,cationic,0.0,1.0,0.0,0.0,1.1666666666666667,3.5
Gatifloxacin,112811-59-3,1.7,2.8,0.8,11.0,10.0,375.39,7,2,82.1,4,2.1,-0.65,zwitterionic,0.0,0.0,0.0,1.0,2.125,3.4999999999999996
Gefitinib,184475-35-2,23.0,12.0,0.089,32.0,34.0,446.9,7,1,68.7,8,4.3,3.9,cationic,0.0,1.0,0.0,0.0,258.42696629213486,134.8314606741573
Gemcitabine,95058-81-4,1.5,32.0,1.0,0.81,1.0,263.2,7,3,108.4,2,-1.9,-1.9,neutral,0.0,0.0,1.0,0.0,1.5,32.0
Gemifloxacin ,175463-14-6,3.52,7.2,0.3,8.1,8.3,389.38,9,2,123.0,5,1.7,-0.26,zwitterionic,0.0,0.0,0.0,1.0,11.733333333333334,24.0
Gentamicin,1403-66-3,0.33,1.0,1.0,5.5,4.7,463.57,12,8,213.7,6,-4.1,-7.1,cationic,0.0,1.0,0.0,0.0,0.33,1.0
Gestodene,60282-87-3,0.46,0.8,0.023,9.6,10.0,310.43,2,1,37.3,2,4.1,4.1,neutral,0.0,0.0,1.0,0.0,20.0,34.78260869565218
Ginkgolide B,15291-77-7,0.91,2.3,0.8,6.6,5.2,424.4,10,3,148.8,0,-4.3,-4.5,neutral,0.0,0.0,1.0,0.0,1.1375,2.8749999999999996
Gliclazide,21187-98-4,0.43,0.41,0.03,17.5,16.4,323.41,6,2,78.5,3,1.7,0.2,anionic,1.0,0.0,0.0,0.0,14.333333333333334,13.666666666666666
Glimepiride,93479-97-1,0.19,0.5,0.005,6.3,10.0,490.62,9,3,124.7,7,4.2,2.1,anionic,1.0,0.0,0.0,0.0,38.0,100.0
Glipizide,29094-61-9,0.16,0.56,0.02,4.8,3.3,445.54,9,3,130.1,7,2.1,0.0081,anionic,1.0,0.0,0.0,0.0,8.0,28.000000000000004
Glufosfamide,132682-98-5,0.24,1.6,0.71,2.49,2.37,383.16,9,6,140.5,9,-2.3,-2.3,neutral,0.0,0.0,1.0,0.0,0.3380281690140845,2.2535211267605635
Glyburide,10238-21-8,0.08,0.82,0.021,1.6,2.2,494.0,8,3,113.6,8,4.1,2.0,anionic,1.0,0.0,0.0,0.0,3.8095238095238093,39.047619047619044
Granisetron,109889-09-0,3.7,9.1,0.35,6.7,5.2,312.41,5,1,50.2,2,2.8,1.2,cationic,0.0,1.0,0.0,0.0,10.571428571428573,26.0
Guanfacine,29110-47-2,5.6,4.5,0.28,22.0,15.0,246.09,4,3,79.0,3,1.3,0.17,cationic,0.0,1.0,0.0,0.0,19.999999999999996,16.07142857142857
Haloperidol,52-86-8,17.0,7.8,0.08,36.0,35.0,375.86,3,1,40.5,6,4.3,3.3,cationic,0.0,1.0,0.0,0.0,212.5,97.5
Hexobarbital,56-29-1,1.1,3.4,0.53,5.4,4.9,236.27,5,1,66.5,1,1.8,1.8,neutral,0.0,0.0,1.0,0.0,2.0754716981132075,6.415094339622641
Hydralazine,86-54-4,1.5,85.0,0.12,0.29,1.0,160.18,4,2,62.8,0,2.4,-1.1,cationic,0.0,1.0,0.0,0.0,12.5,708.3333333333334
Hydrocortisone,50-23-7,0.38,5.7,0.2,1.9,1.6,362.46,5,3,94.8,2,1.5,1.5,neutral,0.0,0.0,1.0,0.0,1.9,28.5
Hydromorphone,466-99-9,4.3,28.0,0.86,2.6,2.3,285.34,4,1,49.8,0,1.5,0.47,cationic,0.0,1.0,0.0,0.0,5.0,32.55813953488372
Hydroxychloroquine,118-42-3,700.0,11.0,0.57,1300.0,850.0,335.87,4,2,48.4,9,4.1,1.5,cationic,0.0,1.0,0.0,0.0,1228.0701754385966,19.29824561403509
"Hydroxydihydroquinidine, 3(S)-",85405-59-0,6.8,12.0,0.47,9.4,6.7,342.43,5,2,65.8,4,2.2,1.4,cationic,0.0,1.0,0.0,0.0,14.46808510638298,25.531914893617024
"Hydroxyimipramine, 2-",303-70-8,6.6,9.2,0.36,12.0,10.0,296.41,3,1,26.7,4,3.9,2.2,cationic,0.0,1.0,0.0,0.0,18.333333333333332,25.555555555555554
Hydroxymidazolam,59468-90-5,0.77,9.71,0.1,1.3,1.1,341.77,4,1,50.4,2,1.9,1.9,neutral,0.0,0.0,1.0,0.0,7.7,97.10000000000001
Hydroxysafflor yellow A,78281-02-4,0.2,1.0,0.22,3.6,2.9,612.53,16,12,295.4,7,-0.48,-0.51,neutral,0.0,0.0,1.0,0.0,0.9090909090909092,4.545454545454546
"Hydroxystaurosporine, 7-",112953-11-4,0.15,0.0037,0.0022,680.0,790.0,482.53,8,3,89.7,2,2.5,-0.29,cationic,0.0,1.0,0.0,0.0,68.18181818181817,1.6818181818181819
Hydroxyurea,127-07-1,0.52,1.5,1.0,4.8,3.4,76.05,4,3,75.3,0,-1.5,-1.5,neutral,0.0,0.0,1.0,0.0,0.52,1.5
Ibandronic Acid (Ibandronate),114084-78-5,0.55,1.8,0.15,5.1,14.0,319.23,8,5,138.5,9,-0.58,-5.9,anionic,1.0,0.0,0.0,0.0,3.666666666666667,12.0
Ibrutinib,936563-96-1,9.75,16.4,0.03,9.9,5.0,440.5,8,1,99.2,5,4.0,4.0,neutral,0.0,0.0,1.0,0.0,325.0,546.6666666666666
Ibuprofen,15687-27-1,0.15,0.82,0.006,3.0,1.6,206.28,2,1,37.3,4,3.2,0.34,anionic,1.0,0.0,0.0,0.0,25.0,136.66666666666666
Ibutilide,122647-31-8,12.0,26.0,0.6,7.7,7.0,384.58,5,2,69.6,14,4.4,2.4,cationic,0.0,1.0,0.0,0.0,20.0,43.333333333333336
Idarubicin,58957-92-9,38.0,24.0,0.076,26.0,16.0,497.49,10,5,176.6,3,1.3,-1.5,cationic,0.0,1.0,0.0,0.0,500.0,315.7894736842105
Idrapril,127420-24-0,1.0,6.3,1.0,2.8,2.6,258.27,7,3,106.9,4,-1.0,-3.5,anionic,1.0,0.0,0.0,0.0,1.0,6.3
Ifosfamide,3778-73-2,0.62,1.1,1.0,9.4,6.6,261.09,4,1,41.6,5,0.88,0.88,neutral,0.0,0.0,1.0,0.0,0.62,1.1
Iloprost,78919-13-8,0.37,16.0,0.4,0.39,0.57,360.49,4,3,77.8,9,3.5,0.96,anionic,1.0,0.0,0.0,0.0,0.9249999999999999,40.0
Imatinib,152459-95-5,3.9,3.3,0.05,20.0,22.0,493.6,8,2,86.3,7,4.4,3.3,cationic,0.0,1.0,0.0,0.0,78.0,65.99999999999999
Imidafenacin,170105-16-5,1.51,6.1,0.12,4.1,3.2,319.4,4,1,60.9,6,1.8,1.7,neutral,0.0,0.0,1.0,0.0,12.583333333333334,50.833333333333336
Imipenem,64221-86-9,0.24,3.0,0.86,1.3,0.95,299.35,7,4,113.7,7,-0.81,-3.1,zwitterionic,0.0,0.0,0.0,1.0,0.27906976744186046,3.488372093023256
Imipramine,50-49-7,12.0,13.0,0.075,15.0,16.0,280.41,2,0,6.5,4,4.3,2.7,cationic,0.0,1.0,0.0,0.0,160.0,173.33333333333334
Incadronate (acid),124351-85-5,0.24,2.16,0.9,1.85,1.82,287.19,7,5,127.1,4,-0.55,-5.8,anionic,1.0,0.0,0.0,0.0,0.26666666666666666,2.4
Indacaterol,312753-06-3,19.4,4.48,0.05,72.4,92.5,392.49,5,4,85.3,6,2.6,0.27,cationic,0.0,1.0,0.0,0.0,387.99999999999994,89.60000000000001
Indinavir,150378-17-9,0.82,18.0,0.36,0.76,1.0,613.79,9,4,118.0,11,3.0,2.9,neutral,0.0,0.0,1.0,0.0,2.2777777777777777,50.0
Indisulam,165668-41-7,0.68,0.72,0.001,16.9,20.3,385.85,7,3,122.1,4,1.3,1.0,neutral,0.0,0.0,1.0,0.0,680.0,720.0
Indocyanine Green,3599-32-4,0.035,6.8,0.05,0.086,0.065,752.98,8,1,117.8,14,5.4,3.1,anionic,1.0,0.0,0.0,0.0,0.7000000000000001,136.0
Indomethacin,53-86-1,0.096,1.3,0.01,1.2,1.4,357.79,5,1,68.5,5,3.4,0.59,anionic,1.0,0.0,0.0,0.0,9.6,130.0
Indoprofen,31842-01-0,0.12,0.65,0.01,2.7,2.11,281.31,4,1,57.6,3,2.4,-0.59,anionic,1.0,0.0,0.0,0.0,12.0,65.0
Indoramin,26844-12-2,4.9,20.0,0.15,4.1,4.3,347.45,4,2,48.1,5,3.8,3.3,cationic,0.0,1.0,0.0,0.0,32.66666666666667,133.33333333333334
Inogatran,155415-08-0,0.26,6.1,0.76,0.71,1.0,438.56,10,6,160.6,12,-0.46,-3.4,cationic,0.0,1.0,0.0,0.0,0.34210526315789475,8.026315789473683
Iodixanol,92339-11-2,0.2,1.44,1.0,2.3,2.1,1550.18,21,13,339.1,22,-3.9,-3.9,neutral,0.0,0.0,1.0,0.0,0.2,1.44
Iohexol,66108-95-0,0.16,2.0,1.0,1.3,1.5,821.14,12,8,199.9,12,-2.8,-2.8,neutral,0.0,0.0,1.0,0.0,0.16,2.0
Iomeprol,78649-41-9,0.23,1.4,1.0,2.7,2.3,777.09,11,7,179.7,15,-2.1,-2.1,neutral,0.0,0.0,1.0,0.0,0.23,1.4
Iopamidol,60166-93-0,0.28,1.9,1.0,2.5,2.1,777.09,11,8,188.4,10,-2.3,-2.3,neutral,0.0,0.0,1.0,0.0,0.28,1.9
Iopentol,89797-00-2,0.2,1.27,1.0,2.64,2.04,835.16,12,7,188.9,13,-2.2,-2.2,neutral,0.0,0.0,1.0,0.0,0.2,1.27
Iopromide,73334-07-3,0.22,1.4,0.99,2.6,2.6,791.11,11,6,168.7,11,-2.2,-2.2,neutral,0.0,0.0,1.0,0.0,0.22222222222222224,1.4141414141414141
Iothalamic acid (Iothalamate),2276-90-6,0.17,2.4,0.98,1.2,1.3,613.91,6,3,95.5,3,1.4,-2.0,anionic,1.0,0.0,0.0,0.0,0.17346938775510207,2.4489795918367347
Iotrolan,79770-24-4,0.23,1.49,1.0,2.56,2.03,1626.23,24,16,399.8,24,-5.8,-5.8,neutral,0.0,0.0,1.0,0.0,0.23,1.49
Ipratropium,60205-81-4,5.1,31.4,0.95,2.7,1.64,332.46,4,1,46.5,7,-0.72,-0.72,neutral,0.0,0.0,1.0,0.0,5.368421052631579,33.05263157894737
Irbesartan,138402-11-6,0.94,2.3,0.1,6.8,14.0,428.53,7,1,87.1,7,4.6,1.1,anionic,1.0,0.0,0.0,0.0,9.399999999999999,22.999999999999996
Irinotecan,97682-44-5,3.5,7.0,0.51,8.3,9.0,586.68,10,1,112.5,5,4.3,2.4,cationic,0.0,1.0,0.0,0.0,6.862745098039215,13.72549019607843
Isavuconazole,241479-67-4,5.37,0.85,0.01,105.5,86.9,437.47,6,1,87.6,8,4.0,4.0,neutral,0.0,0.0,1.0,0.0,537.0,85.0
Isepamicin,58152-03-7,0.32,1.3,0.95,4.1,24.0,569.6,17,12,297.7,9,-8.7,-9.0,cationic,0.0,1.0,0.0,0.0,0.33684210526315794,1.368421052631579
Isomazole,86315-52-8,1.67,20.7,0.48,1.3,1.2,287.34,5,1,67.9,3,1.0,1.0,neutral,0.0,0.0,1.0,0.0,3.4791666666666665,43.125
Isoniazide,54-85-3,0.82,7.4,1.0,1.8,1.0,137.14,4,2,68.0,1,-1.0,-1.0,neutral,0.0,0.0,1.0,0.0,0.82,7.4
Isoproterenol,7683-59-2,1.5,56.0,0.71,0.43,0.41,211.26,4,4,72.7,4,0.79,-0.8,cationic,0.0,1.0,0.0,0.0,2.1126760563380285,78.87323943661973
Isosorbide Dinitrate,87-33-2,1.9,31.0,0.72,1.0,1.7,236.14,10,0,128.6,4,0.82,0.82,neutral,0.0,0.0,1.0,0.0,2.638888888888889,43.05555555555556
Isosorbide-5-Mononitrate,16051-77-7,0.7,2.0,1.0,5.8,4.1,191.14,7,1,93.7,2,-0.38,-0.38,neutral,0.0,0.0,1.0,0.0,0.7,2.0
Isoxicam,34552-84-6,0.19,0.07,0.035,44.0,33.0,335.34,8,2,113.0,2,2.4,-0.77,anionic,1.0,0.0,0.0,0.0,5.428571428571428,2.0
Isradipine,75695-93-1,1.5,26.0,0.04,1.0,3.3,371.39,8,1,103.8,6,3.0,3.0,neutral,0.0,0.0,1.0,0.0,37.5,650.0
Itraconazole,84625-61-6,7.4,5.1,0.002,24.0,25.0,705.63,12,0,100.8,11,5.8,5.8,neutral,0.0,0.0,1.0,0.0,3700.0,2549.9999999999995
Ixabepilone,219989-84-1,11.0,10.0,0.2,18.0,17.0,506.7,7,3,112.0,2,3.9,3.9,neutral,0.0,0.0,1.0,0.0,55.0,50.0
Ixazomib,1072833-77-2,3.61,0.5,0.01,119.0,97.0,361.03,6,4,98.7,7,2.2,2.2,neutral,0.0,0.0,1.0,0.0,361.0,50.0
Kanamycin,59-01-8,0.26,1.4,0.99,3.1,2.1,484.5,15,11,282.6,6,-7.9,-9.0,cationic,0.0,1.0,0.0,0.0,0.26262626262626265,1.4141414141414141
Ketamine,6740-88-1,2.9,19.0,0.47,2.5,2.8,237.73,2,1,29.1,2,2.6,2.2,cationic,0.0,1.0,0.0,0.0,6.170212765957447,40.42553191489362
Ketanserin,74050-98-9,3.9,6.7,0.055,9.7,12.0,395.43,6,1,69.7,5,3.5,2.8,cationic,0.0,1.0,0.0,0.0,70.9090909090909,121.81818181818183
Ketoprofen,22071-15-4,0.13,1.6,0.008,1.4,2.1,254.28,3,1,54.4,4,2.9,-0.072,anionic,1.0,0.0,0.0,0.0,16.25,200.0
Ketorolac,74103-06-3,0.11,0.35,0.0068,5.2,5.1,255.27,4,1,59.3,3,2.5,-0.76,anionic,1.0,0.0,0.0,0.0,16.176470588235293,51.470588235294116
KRN8602,105026-50-4,20.9,42.8,0.09,8.0,10.7,585.6,12,6,186.4,4,1.4,1.2,neutral,0.0,0.0,1.0,0.0,232.22222222222223,475.55555555555554
L-692429,145455-23-8,0.2,3.05,0.06,1.1,3.8,509.6,9,3,129.9,8,4.1,1.8,zwitterionic,0.0,0.0,0.0,1.0,3.3333333333333335,50.833333333333336
Labetalol,36894-69-6,4.8,23.0,0.5,3.5,4.4,328.41,5,4,95.6,8,1.8,0.97,cationic,0.0,1.0,0.0,0.0,9.6,46.0
Lacosamide,175481-36-4,0.58,0.57,0.85,17.2,12.3,250.29,5,2,67.4,6,-0.2,-0.2,neutral,0.0,0.0,1.0,0.0,0.6823529411764706,0.6705882352941176
Ladirubicin,171047-47-5,2.95,23.54,0.006,2.09,7.33,601.62,12,3,176.7,6,1.5,1.4,neutral,0.0,0.0,1.0,0.0,491.6666666666667,3923.333333333333
Lamifiban,144412-49-7,0.29,1.9,0.94,2.5,2.1,468.5,10,5,166.0,9,0.93,-0.3,zwitterionic,0.0,0.0,0.0,1.0,0.30851063829787234,2.021276595744681
Lamivudine,134678-17-4,1.3,4.8,0.94,4.4,9.1,229.26,6,2,88.1,2,-1.0,-1.0,neutral,0.0,0.0,1.0,0.0,1.3829787234042554,5.1063829787234045
Laniquidar,197509-46-9,6.03,14.14,0.001,7.1,10.6,584.71,7,0,69.5,8,7.4,6.8,cationic,0.0,1.0,0.0,0.0,6030.0,14140.0
